FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE,OBJECTID,AREA_SQM,FEAT_LEN,X,Y
58,,1919,Lightning,1919-58,1595.1,linens,,2.00705E+13,19190819,digitised,JA70003000,,1960711,15951876.05,16185.7894,,
58,,1919,Person,1919-58,103.2,linens,,2.00705E+13,19190708,assumed_shape,JA70003000,,1960712,1032889.65,4297.5047,,
58,,1919,Person,1919-58,2588.6,linens,,2.00705E+13,19190721,digitised,JA70003000,,1960713,25886457.59,24221.5577,,
59,,1919,Lightning,1919-59,3183.8,linens,,2.00705E+13,19190725,digitised,JA70003000,,1960714,31838062.53,32479.3835,,
59,,1919,Person,1919-59,38.5,linens,,2.00705E+13,19190716,digitised,JA70003000,,1960715,385698.793,2327.3295,,
487,,1919,Person,1919-487,121.2,linens,,2.00705E+13,19190810,assumed_shape,JA70003000,,1960679,1212518.802,4849.7508,,
491,,1919,Person,1919-491,680.4,linens,,2.00705E+13,19190916,assumed_shape,JA70003000,,1960680,6804876.061,10943.8977,,
496,,1919,Person,1919-496,75.3,linens,,2.00705E+13,19190919,assumed_shape,JA70003000,,1960681,753533.1261,4144.1127,,
5,,1919,Person,May-19,35,linens,,2.00705E+13,19190522,digitised,JA70003000,,1960682,350053.5544,2137.9866,,
5,,1919,Person,May-19,167.3,linens,,2.00705E+13,19190505,digitised,JA70003000,,1960683,1672997.719,5086.1043,,
5,,1919,Person,May-19,82.9,linens,,2.00705E+13,19190506,digitised,JA70003000,,1960684,829987.341,3788.62,,
50,,1919,Person,1919-50,4633.5,linens,,2.00705E+13,19190717,digitised,JA70003000,,1960685,46335275.2,42389.9584,,
50,,1919,Lightning,1919-50,1662.9,linens,,2.00705E+13,19190818,digitised,JA70003000,,1960686,16629245.89,16166.6085,,
509,,1919,Person,1919-509,78.5,linens,,2.00705E+13,19190925,digitised,JA70003000,,1960687,785544.409,3540.9027,,
51,,1919,Person,1919-51,16893.5,linens,,2.00705E+13,19190715,digitised,JA70003000,,1960688,168935187.2,83728.5267,,
51,,1919,Lightning,1919-51,687.1,linens,,2.00705E+13,19190816,digitised,JA70003000,,1960689,6871249.324,10105.976,,
510,,1919,Person,1919-510,60.9,linens,,2.00705E+13,19190924,digitised,JA70003000,,1960690,609003.0654,3898.3101,,
511,,1919,Person,1919-511,111.5,linens,,2.00705E+13,19190922,digitised,JA70003000,,1960691,1115371.189,4646.5512,,
52,,1919,Lightning,1919-52,306.5,linens,,2.00705E+13,19190819,digitised,JA70003000,,1960692,3065452.343,6580.6689,,
529,,1919,Person,1919-529,318.7,linens,,2.00705E+13,19190812,assumed_shape,JA70003000,,1960693,3187397.292,7518.0138,,
52b,,1919,Person,1919-52b,50,linens,,2.00705E+13,19190621,assumed_shape,JA70003000,,1960694,500662.5947,3041.7255,,
53,,1919,Person,1919-53,465.7,linens,,2.00705E+13,19190825,digitised,JA70003000,,1960695,4657416.921,8149.3467,,
532,,1919,Person,1919-532,58.9,linens,,2.00705E+13,19190927,assumed_shape,JA70003000,,1960696,589354.3683,4025.0917,,
533,,1919,Person,1919-533,37.8,linens,,2.00705E+13,19190823,digitised,JA70003000,,1960697,378195.3368,3711.5247,,
